,x_interp,y_interp
318,306.2,68.4
319,307.2,68.5
320,308.2,68.6
321,309.1,68.9
322,310.1,69.3
323,311.0,69.6
324,312.0,69.9
325,313.0,70.2
326,313.9,70.5
327,314.9,70.9
328,315.9,71.0
329,316.8,71.2
330,317.8,71.4
331,318.8,71.6
332,319.7,71.8
333,320.7,72.0
334,321.6,72.2
335,322.6,72.4
336,323.6,72.6
337,324.5,72.9
338,325.5,73.1
339,326.5,73.3
340,327.4,73.5
341,328.4,73.8
342,329.3,74.0
343,330.3,74.2
344,331.3,74.4
345,332.2,74.6
346,333.2,74.7
347,334.2,74.7
348,335.1,74.8
349,336.1,74.9
350,337.0,75.0
351,338.0,75.1
352,339.0,75.1
353,339.9,75.2
354,340.9,75.3
355,341.9,75.4
356,342.8,75.5
357,343.8,75.6
358,344.8,75.6
359,345.7,75.7
360,346.7,75.8
361,347.6,75.9
362,348.6,76.3
363,349.6,76.6
364,350.5,77.0
365,351.5,77.4
366,352.5,77.7
367,353.4,78.1
368,354.4,78.5
369,355.3,78.7
370,356.3,78.8
371,357.3,79.0
372,358.2,79.1
373,359.2,79.3
374,360.2,79.4
375,361.1,79.6
376,362.1,79.7
377,363.0,79.9
378,364.0,80.0
379,365.0,80.2
380,365.9,80.4
381,366.9,80.5
382,367.9,80.7
383,368.8,80.8
384,369.8,81.0
385,370.8,81.1
386,371.7,81.2
387,372.7,81.4
388,373.6,81.5
389,374.6,81.7
390,375.6,81.8
391,376.5,82.0
392,377.5,82.1
393,378.5,82.3
394,379.4,82.4
395,380.4,82.5
396,381.3,82.7
397,382.3,82.8
398,383.3,83.0
399,384.2,83.1
400,385.2,83.2
401,386.2,83.4
402,387.1,83.5
403,388.1,83.6
404,389.0,83.7
405,390.0,83.9
406,391.0,84.1
407,391.9,84.2
408,392.9,84.4
409,393.9,84.5
410,394.8,84.7
411,395.8,84.9
412,396.8,85.0
413,397.7,85.2
414,398.7,85.3
415,399.6,85.5
416,400.6,85.7
417,401.6,85.8
418,402.5,86.0
419,403.5,86.1
420,404.5,86.3
421,405.4,86.5
422,406.4,86.7
423,407.3,86.9
424,408.3,87.1
425,409.3,87.2
426,410.2,87.4
427,411.2,87.6
428,412.2,87.8
429,413.1,88.0
430,414.1,88.3
431,415.0,88.6
432,416.0,88.8
433,417.0,89.1
434,417.9,89.4
435,418.9,89.7
436,419.9,89.9
437,420.8,90.1
438,421.8,90.4
439,422.8,90.6
440,423.7,90.9
441,424.7,91.1
442,425.6,91.3
443,426.6,91.6
444,427.6,91.8
445,428.5,92.1
446,429.5,92.3
447,430.5,92.5
448,431.4,92.7
449,432.4,93.0
450,433.3,93.2
451,434.3,93.4
452,435.3,93.6
453,436.2,93.9
454,437.2,94.1
455,438.2,94.3
456,439.1,94.4
457,440.1,94.5
458,441.1,94.7
459,442.0,94.8
460,443.0,94.9
461,443.9,95.1
462,444.9,95.2
463,445.9,95.3
464,446.8,95.4
465,447.8,95.6
466,448.8,95.7
467,449.7,95.9
468,450.7,96.1
469,451.6,96.3
470,452.6,96.4
471,453.6,96.6
472,454.5,96.8
473,455.5,97.0
474,456.5,97.2
475,457.4,97.4
476,458.4,97.5
477,459.3,97.7
478,460.3,97.9
479,461.3,98.1
480,462.2,98.3
481,463.2,98.5
482,464.2,98.6
483,465.1,98.8
484,466.1,98.9
485,467.1,99.1
486,468.0,99.2
487,469.0,99.4
488,469.9,99.5
489,470.9,99.6
490,471.9,99.8
491,472.8,99.9
492,473.8,100.1
493,474.8,100.2
494,475.7,100.4
